student_id,program,education_level,academic_year,place_type,course,absence_status,discipline,module,exam_type,grade_10,difficulty_avg_score,std_deviation,students_responsed_ratio,exam_type_prev,grade_prev,avg_grade_prev,min_prev,max_prev,target_grade,target_type
388,UX-аналитика и проектирование информационных систем,Магистратура,2023,Коммерческие,2,\N,Человеко-ориентированный дизайн и прототипирование,2,Первая сдача,9,,,,,,6.0,5.0,7.0,9.0,Первая сдача
390,Машинное обучение и анализ данных,Магистратура,2023,Бюджетные,2,\N,Дополнительные главы машинного обучения,2,Первая сдача,7,4.125,0.92702,0.7619047619047619,,,6.0,6.0,6.0,6.0,Первая сдача
391,Внедрение и оптимизация комплексных информационных систем,Магистратура,2023,Коммерческие,2,\N,Разработка на C++ в Linux,1,Первая сдача,9,,,,,,10.0,10.0,10.0,8.0,Первая сдача
391,Внедрение и оптимизация комплексных информационных систем,Магистратура,2023,Коммерческие,2,\N,ИТ-архитектура предприятия,2,Первая сдача,9,,,,,,9.666666666666666,9.0,10.0,9.0,Первая сдача
395,Прикладной анализ данных и искусственный интеллект,Бакалавриат,2024,Бюджетные,3,\N,Язык программирования Java,3,Первая сдача,9,,,,,,8.125,7.0,10.0,7.0,Первая сдача
398,Прикладной анализ данных и искусственный интеллект,Бакалавриат,2024,Коммерческие,3,\N,Основы машинного обучения,3,Первая сдача,4,,,,Первая сдача,4.0,4.0,4.0,4.0,4.0,Первая сдача
398,Прикладной анализ данных и искусственный интеллект,Бакалавриат,2024,Коммерческие,3,\N,Независимый экзамен по программированию. Продвинутый уровень,4,Первая сдача,0,,,,,,4.0,4.0,4.0,8.0,Пересдача
398,Прикладной анализ данных и искусственный интеллект,Бакалавриат,2024,Коммерческие,3,valid,Теория вероятностей и математическая статистика,4,Первая сдача,0,,,,,,3.3333333333333335,0.0,4.0,0.0,Пересдача
399,UX-аналитика и проектирование информационных систем,Магистратура,2024,Коммерческие,2,\N,Современные методы принятия решений,4,Первая сдача,3,,,,,,7.2,6.0,9.0,6.0,Пересдача
400,Машинное обучение и анализ данных,Магистратура,2024,Бюджетные,2,valid,Асимптотики в задачах математической физики,4,Первая сдача,0,,,,,,8.0,8.0,8.0,8.0,Пересдача
404,Прикладной анализ данных и искусственный интеллект,Бакалавриат,2024,Коммерческие за счет средств вуза,3,invalid,Теория вероятностей и математическая статистика,4,Первая сдача,3,,,,,,0.0,0.0,0.0,0.0,Пересдача
413,Прикладной анализ данных и искусственный интеллект,Бакалавриат,2023,Коммерческие за счет средств вуза,1,\N,Математический анализ 1,2,Первая сдача,1,4.64,0.62482,0.8333333333333334,,,8.0,8.0,8.0,1.0,Пересдача
413,Прикладной анализ данных и искусственный интеллект,Бакалавриат,2023,Коммерческие за счет средств вуза,1,\N,Математический анализ 1,2,Пересдача,1,4.64,0.62482,0.8333333333333334,Первая сдача,1.0,4.5,1.0,8.0,4.0,Пересдача с комиссией
418,Прикладная математика и информатика,Бакалавриат,2023,Бюджетные,2,\N,Архитектура компьютера,2,Первая сдача,2,4.2432,0.88242,0.8409090909090909,,,6.0,6.0,6.0,1.0,Пересдача
418,Прикладная математика и информатика,Бакалавриат,2023,Бюджетные,2,\N,Психология,2,Первая сдача,4,3.2174,1.47314,0.696969696969697,,,4.0,2.0,6.0,4.0,Первая сдача
418,Прикладная математика и информатика,Бакалавриат,2023,Бюджетные,2,\N,Функциональное программирование,2,Первая сдача,0,4.5,0.70711,0.7111111111111111,,,4.0,2.0,6.0,0.0,Первая сдача
418,Прикладная математика и информатика,Бакалавриат,2023,Бюджетные,2,\N,Функциональное программирование,2,Первая сдача,0,4.4,0.83066,0.8888888888888888,Первая сдача,0.0,3.2,0.0,6.0,4.0,Пересдача
418,Прикладная математика и информатика,Бакалавриат,2023,Бюджетные,2,\N,Архитектура компьютера,2,Пересдача,1,4.2432,0.88242,0.8409090909090909,Первая сдача,2.0,2.857142857142857,0.0,6.0,4.0,Пересдача с комиссией
418,Прикладная математика и информатика,Бакалавриат,2023,Бюджетные,2,\N,Функциональное программирование,2,Пересдача,4,4.5,0.70711,0.7111111111111111,Первая сдача,0.0,2.625,0.0,6.0,4.0,Пересдача
418,Прикладная математика и информатика,Бакалавриат,2023,Бюджетные,2,\N,Язык программирования Java,3,Первая сдача,0,4.8095,0.39268,0.875,,,3.0,0.0,6.0,0.0,Первая сдача
418,Прикладная математика и информатика,Бакалавриат,2023,Бюджетные,2,\N,Физическая культура,4,Первая сдача,0,3.5882,1.75093,0.85,,,2.2,0.0,6.0,0.0,Первая сдача
423,Прикладной анализ данных и искусственный интеллект,Бакалавриат,2023,Коммерческие,2,invalid,Дискретная математика,1,Пересдача,0,3.1698,1.1449,0.8548387096774194,Первая сдача,0.0,0.0,0.0,0.0,0.0,Первая сдача
423,Прикладной анализ данных и искусственный интеллект,Бакалавриат,2023,Коммерческие,2,invalid,Дискретная математика,2,Первая сдача,0,3.3585,1.15079,0.8688524590163934,Пересдача,0.0,0.0,0.0,0.0,0.0,Пересдача
423,Прикладной анализ данных и искусственный интеллект,Бакалавриат,2023,Коммерческие,2,\N,Дифференциальные уравнения,2,Первая сдача,0,3.9808,0.7964,0.8524590163934426,,,0.0,0.0,0.0,0.0,Пересдача
423,Прикладной анализ данных и искусственный интеллект,Бакалавриат,2023,Коммерческие,2,valid,Математический анализ 2,2,Первая сдача,0,4.7407,0.67179,0.8852459016393442,,,0.0,0.0,0.0,0.0,Пересдача по уважительной причине
423,Прикладной анализ данных и искусственный интеллект,Бакалавриат,2023,Коммерческие,2,\N,Психология,2,Первая сдача,6,3.375,1.21835,0.5714285714285714,,,0.0,0.0,0.0,6.0,Первая сдача
423,Прикладной анализ данных и искусственный интеллект,Бакалавриат,2023,Коммерческие,2,\N,Современные информационные технологии в бизнесе,2,Первая сдача,3,,,,,,1.5,0.0,6.0,3.0,Пересдача
